episode,epsilon,reward,steps,exit_reason
0,1,-394.13263768039127,82,terminated
1,0.9821566111698136,-693.6272566664256,82,terminated
2,0.9417504025116805,-596.9593149526094,84,terminated
3,0.900751257125721,-304.6360822395015,89,terminated
4,0.864990926165076,-492.99985013268383,81,terminated
5,0.824854607882771,-813.6536354353525,95,terminated
6,0.7897340627103864,-502.1153011212948,87,terminated
7,0.7538433821357534,-709.2180536213804,93,terminated
8,0.7231916419492961,-295.5447678633262,83,terminated
9,0.6923996884502843,-401.7837197730264,87,terminated
10,0.6615939469455022,-309.88709554758424,91,terminated
11,0.6356461186197387,-91.22735935015078,80,terminated
12,0.6073654155152287,-207.6536469201019,91,terminated
13,0.5829610409605233,-297.36621078036967,82,terminated
14,0.5598171601199543,-195.00384169836536,81,terminated
15,0.534108219524099,-411.73584855410024,94,terminated
16,0.510345066506129,-206.90279107511122,91,terminated
17,0.4878831078997013,-206.30468615756536,90,terminated
18,0.4685138744175588,-492.8937540455796,81,terminated
