episode,epsilon,total_reward,steps,exit_reason
0,1,-1373.923444032342,63,truncated
1,0.9938188722357206,-1371.0213815989719,63,truncated
2,0.9875771832167983,-1469.0384529261376,63,truncated
3,0.9813746951860012,-1372.7958924555764,63,truncated
4,0.9752111619411448,-1472.6749143689544,63,truncated
5,0.9690863388263196,-1374.50280163762,63,truncated
6,0.9629999827221808,-1373.4248261016835,63,truncated
7,0.9569518520362974,-1372.4621627869303,63,truncated
8,0.9509417066935597,-1570.6424858846176,63,truncated
9,0.9449693081266536,-1570.2231080251163,63,truncated
10,0.93903441926659,-1369.4974504398401,63,truncated
11,0.9331368045332926,-1671.0696485379813,63,truncated
12,0.9272762298262487,-1674.6780367329918,63,truncated
13,0.9214524625152158,-1272.3054753491153,63,truncated
14,0.9156652714309877,-1472.2655000381676,63,truncated
15,0.9099144268562193,-1471.9675859769081,63,truncated
16,0.904199700516307,-1372.377427162157,63,truncated
17,0.8985208655703283,-1570.6990670244982,63,truncated
18,0.8928776966020373,-1469.295490980733,63,truncated
19,0.8872699696109162,-1672.2090399664444,63,truncated
20,0.8816974620032856,-1371.8472394893424,63,truncated
21,0.8761599525834685,-1569.1887502458053,63,truncated
22,0.8706572215450074,-1670.0386714324889,63,truncated
23,0.8651890504619433,-1471.9747039307767,63,truncated
24,0.8597552222801421,-1671.1112147377055,63,truncated
25,0.8543555213086812,-1669.6544595668224,63,truncated
26,0.8489897332112875,-1473.2180543755796,63,truncated
27,0.843657644997827,-1270.0709739576723,63,truncated
28,0.8383590450158538,-1670.2232762545093,63,truncated
29,0.8330937229422068,-1470.57518335184,63,truncated
30,0.8278614697746616,-1271.3541037305763,63,truncated
31,0.8226620778236344,-1569.742471297866,63,truncated
32,0.8174953407039375,-1470.341588107392,63,truncated
33,0.8123610533265879,-1270.766176033086,63,truncated
34,0.8072590118906648,-1473.2553017498344,63,truncated
35,0.8021890138752226,-1466.7789564837715,63,truncated
36,0.7971508580312495,-1571.659736587509,63,truncated
37,0.7921443443736803,-1368.0295738053762,63,truncated
38,0.787169274173458,-1369.607907202587,63,truncated
39,0.782225449949645,-1267.543863381983,63,truncated
40,0.7773126754615848,-1369.8610203771448,63,truncated
41,0.7724307557011127,-1471.1384178807916,63,truncated
42,0.7675794968848141,-1366.5755928587669,63,truncated
43,0.7627587064463331,-1567.3373476906295,63,truncated
44,0.7579681930287285,-1271.1047087903264,63,truncated
45,0.7532077664768794,-1569.463242332987,63,truncated
46,0.7484772378299342,-1370.9312488734304,63,truncated
47,0.7437764193138133,-1369.551427918658,63,truncated
48,0.7391051243337519,-1373.289039315565,63,truncated
49,0.7344631674668985,-1369.887958930388,63,truncated
50,0.7298503644549494,-1470.0241881542138,63,truncated
51,0.7252665321968375,-1674.254598568281,63,truncated
52,0.7207114887414634,-1368.6423985674078,63,truncated
53,0.7161850532804732,-1167.6953289322507,63,truncated
54,0.7116870461410829,-1571.8266118364481,63,truncated
55,0.707217288778944,-1370.5196799913792,63,truncated
56,0.702775603771058,-1469.9506734237882,63,truncated
57,0.6983618148087326,-1770.847614503728,63,truncated
58,0.6939757466905855,-1269.227394305455,63,truncated
59,0.6896172253155864,-1168.6385407905748,63,truncated
60,0.6852860776761496,-1268.8888537499638,63,truncated
61,0.6809821318512639,-1271.9769594344978,63,truncated
62,0.6767052169996707,-1372.1583464981102,63,truncated
63,0.6724551633530818,-1168.6653843545328,63,truncated
64,0.6682318022094399,-1469.8844146561983,63,truncated
65,0.664034965926222,-1269.5186645148942,63,truncated
66,0.6598644879137865,-1367.3243952744674,63,truncated
67,0.6557202026287601,-1470.8153217024364,63,truncated
68,0.6516019455674643,-1268.3338111399312,63,truncated
69,0.64750955325939,-1766.815124638759,63,truncated
70,0.6434428632607037,-1468.2090142047323,63,truncated
71,0.6394017141478041,-1367.7903764679263,63,truncated
72,0.6353859455109112,-1366.775109874573,63,truncated
73,0.6313953979477002,-1367.9061258946988,63,truncated
74,0.6274299130569747,-1269.6593667311035,63,truncated
75,0.6234893334323787,-1371.3570110395383,63,truncated
76,0.6195735026561473,-1269.6690266313183,63,truncated
77,0.6156822652928997,-1372.4822237379583,63,truncated
78,0.6118154668834686,-1269.4747201179152,63,truncated
79,0.6079729539387682,-1471.1118793064188,63,truncated
80,0.6041545739337022,-1268.2309556183695,63,truncated
81,0.600360175301112,-1268.7446595018966,63,truncated
82,0.5965896074257551,-1268.8957906138169,63,truncated
83,0.5928427206383312,-1368.3531307579974,63,truncated
84,0.5891193662095384,-1467.902188827221,63,truncated
85,0.5854193963441723,-1571.2340123205947,63,truncated
