episode,total_reward,steps,exit_reason
0,-35,35,terminated
1,-235,35,terminated
2,-35,35,terminated
3,-137,37,terminated
4,-32,32,terminated
5,-235,35,terminated
6,-138,38,terminated
7,-137,37,terminated
8,70,30,terminated
9,-136,36,terminated
10,-137,37,terminated
11,-136,36,terminated
12,-32,32,terminated
13,-33,33,terminated
14,-339,39,terminated
15,67,33,terminated
16,-234,34,terminated
17,66,34,terminated
18,69,31,terminated
19,-543,43,terminated
20,-35,35,terminated
21,-33,33,terminated
22,-136,36,terminated
23,-33,33,terminated
24,-340,40,terminated
25,-236,36,terminated
26,-134,34,terminated
27,-34,34,terminated
28,-31,31,terminated
29,-335,35,terminated
30,-30,30,terminated
31,-33,33,terminated
