episode,epsilon,reward,steps,exit_reason
0,0.995,-338,38,terminated
1,0.990025,-134,34,terminated
2,0.985074875,-133,33,terminated
3,0.9801495006250001,-339,39,terminated
4,0.9752487531218751,-137,37,terminated
5,0.9703725093562657,-34,34,terminated
6,0.9655206468094844,-134,34,terminated
7,0.960693043575437,-35,35,terminated
8,0.9558895783575597,-134,34,terminated
9,0.9511101304657719,67,33,terminated
10,0.946354579813443,68,32,terminated
11,0.9416228069143757,-235,35,terminated
12,0.9369146928798039,-134,34,terminated
13,0.9322301194154049,-137,37,terminated
14,0.9275689688183278,-35,35,terminated
15,0.9229311239742362,71,29,terminated
16,0.918316468354365,-237,37,terminated
17,0.9137248860125932,-235,35,terminated
18,0.9091562615825302,-334,34,terminated
19,0.9046104802746175,-134,34,terminated
20,0.9000874278732445,67,33,terminated
21,0.8955869907338783,-31,31,terminated
22,0.8911090557802088,-338,38,terminated
23,0.8866535105013078,-33,33,terminated
24,0.8822202429488013,-440,40,terminated
25,0.8778091417340573,-33,33,terminated
26,0.8734200960253871,-134,34,terminated
27,0.8690529955452602,-132,32,terminated
28,0.8647077305675338,-33,33,terminated
29,0.8603841919146962,-32,32,terminated
30,0.8560822709551227,-32,32,terminated
31,0.851801859600347,-33,33,terminated
32,0.8475428503023453,-133,33,terminated
33,0.8433051360508336,-37,37,terminated
34,0.8390886103705794,-35,35,terminated
35,0.8348931673187264,70,30,terminated
36,0.8307187014821328,-33,33,terminated
37,0.8265651079747222,71,29,terminated
38,0.8224322824348486,72,28,terminated
39,0.8183201210226743,-33,33,terminated
40,0.8142285204175609,-31,31,terminated
41,0.810157377815473,69,31,terminated
42,0.8061065909263957,-235,35,terminated
43,0.8020760579717637,-336,36,terminated
44,0.798065677681905,-237,37,terminated
45,0.7940753492934954,-135,35,terminated
46,0.7901049725470279,-242,42,terminated
47,0.7861544476842928,-240,40,terminated
48,0.7822236754458713,-30,30,terminated
49,0.778312557068642,-131,31,terminated
50,0.7744209942832988,-32,32,terminated
51,0.7705488893118823,-34,34,terminated
52,0.7666961448653229,-34,34,terminated
53,0.7628626641409962,-28,28,terminated
54,0.7590483508202912,-134,34,terminated
55,0.7552531090661897,68,32,terminated
56,0.7514768435208588,-32,32,terminated
57,0.7477194593032545,-31,31,terminated
58,0.7439808620067382,-29,29,terminated
59,0.7402609576967045,-32,32,terminated
60,0.736559652908221,69,31,terminated
61,0.7328768546436799,-30,30,terminated
62,0.7292124703704616,69,31,terminated
63,0.7255664080186093,-235,35,terminated
64,0.7219385759785162,-33,33,terminated
65,0.7183288830986236,-33,33,terminated
66,0.7147372386831305,-231,31,terminated
67,0.7111635524897149,-38,38,terminated
68,0.7076077347272662,65,35,terminated
69,0.7040696960536299,66,34,terminated
70,0.7005493475733617,-242,42,terminated
71,0.697046600835495,-132,32,terminated
72,0.6935613678313175,-29,29,terminated
73,0.6900935609921609,70,30,terminated
74,0.6866430931872001,-33,33,terminated
75,0.6832098777212641,-35,35,terminated
76,0.6797938283326578,72,28,terminated
77,0.6763948591909945,72,28,terminated
78,0.6730128848950395,71,29,terminated
79,0.6696478204705644,-131,31,terminated
80,0.6662995813682115,-34,34,terminated
81,0.6629680834613705,-29,29,terminated
82,0.6596532430440636,69,31,terminated
83,0.6563549768288433,-30,30,terminated
84,0.653073201944699,-132,32,terminated
85,0.6498078359349755,74,26,terminated
86,0.6465587967553006,72,28,terminated
87,0.6433260027715241,-29,29,terminated
88,0.6401093727576664,-130,30,terminated
89,0.6369088258938781,-32,32,terminated
90,0.6337242817644086,-128,28,terminated
91,0.6305556603555866,-37,37,terminated
92,0.6274028820538087,-33,33,terminated
93,0.6242658676435396,-36,36,terminated
94,0.6211445383053219,-33,33,terminated
95,0.6180388156137953,68,32,terminated
96,0.6149486215357263,72,28,terminated
97,0.6118738784280476,72,28,terminated
98,0.6088145090359074,-31,31,terminated
99,0.6057704364907278,-132,32,terminated
100,0.6027415843082742,72,28,terminated
101,0.5997278763867329,-32,32,terminated
102,0.5967292370047992,70,30,terminated
103,0.5937455908197752,-28,28,terminated
104,0.5907768628656763,71,29,terminated
105,0.5878229785513479,-29,29,terminated
106,0.5848838636585911,76,24,terminated
107,0.5819594443402982,74,26,terminated
108,0.5790496471185967,73,27,terminated
109,0.5761543988830038,70,30,terminated
110,0.5732736268885887,72,28,terminated
111,0.5704072587541458,-27,27,terminated
112,0.567555222460375,75,25,terminated
113,0.5647174463480732,-29,29,terminated
114,0.5618938591163328,75,25,terminated
115,0.5590843898207511,68,32,terminated
116,0.5562889678716474,-29,29,terminated
117,0.5535075230322891,71,29,terminated
118,0.5507399854171277,-131,31,terminated
119,0.547986285490042,-40,40,terminated
120,0.5452463540625918,75,25,terminated
121,0.5425201222922789,72,28,terminated
122,0.5398075216808175,74,26,terminated
123,0.5371084840724134,70,30,terminated
