episode,epsilon,reward,steps,exit_reason
0,0.9999,-781,198,terminated
1,0.9998000100000001,-1284,206,terminated
2,0.9997000299990001,-573,188,terminated
3,0.9996000599960002,-371,184,terminated
4,0.9995000999900007,-382,195,terminated
5,0.9994001499800017,-1082,202,terminated
6,0.9993002099650037,-570,185,terminated
7,0.9992002799440072,-474,188,terminated
8,0.9991003599160128,-373,186,terminated
9,0.9990004498800211,-775,192,terminated
10,0.9989005498350332,-675,191,terminated
11,0.9988006597800497,-675,191,terminated
12,0.9987007797140718,25,184,terminated
13,0.9986009096361004,-1375,198,terminated
14,0.9985010495451367,-377,190,terminated
15,0.9984011994401822,-677,193,terminated
16,0.9983013593202382,-576,191,terminated
17,0.9982015291843062,-881,199,terminated
18,0.9981017090313877,-773,190,terminated
19,0.9980018988604846,-581,196,terminated
20,0.9979020986705985,-179,190,terminated
21,0.9978023084607315,-783,200,terminated
22,0.9977025282298854,-186,197,terminated
23,0.9976027579770624,-1279,201,terminated
24,0.9975029977012647,-579,194,terminated
25,0.9974032474014946,-677,193,terminated
26,0.9973035070767544,-577,192,terminated
27,0.9972037767260468,-272,184,terminated
28,0.9971040563483742,-377,190,terminated
29,0.9970043459427393,-678,194,terminated
30,0.9969046455081451,20,189,terminated
31,0.9968049550435942,-679,195,terminated
32,0.9967052745480899,-879,197,terminated
33,0.9966056040206351,-484,198,terminated
34,0.9965059434602331,-985,204,terminated
35,0.9964062928658871,-1084,204,terminated
36,0.9963066522366005,-775,192,terminated
37,0.9962070215713769,-581,196,terminated
38,0.9961074008692198,-478,192,terminated
39,0.9960077901291329,-774,191,terminated
40,0.9959081893501199,-781,198,terminated
41,0.995808598531185,-677,193,terminated
42,0.9957090176713319,20,189,terminated
43,0.9956094467695648,-277,189,terminated
44,0.9955098858248879,-1177,198,terminated
45,0.9954103348363054,-576,191,terminated
46,0.9953107938028217,-679,195,terminated
47,0.9952112627234414,-372,185,terminated
48,0.9951117415971691,-781,198,terminated
49,0.9950122304230093,-679,195,terminated
50,0.9949127291999671,-674,190,terminated
51,0.9948132379270471,-1075,195,terminated
52,0.9947137566032545,-881,199,terminated
53,0.9946142852275941,-76,186,terminated
54,0.9945148237990713,-280,192,terminated
55,0.9944153723166914,-577,192,terminated
56,0.9943159307794598,-479,193,terminated
57,0.9942164991863819,-378,191,terminated
58,0.9941170775364633,-878,196,terminated
59,0.9940176658287097,-581,196,terminated
60,0.9939182640621268,-1177,198,terminated
61,0.9938188722357206,-575,190,terminated
62,0.993719490348497,-171,182,terminated
63,0.9936201183994622,-577,192,terminated
64,0.9935207563876223,-569,184,terminated
65,0.9934214043119836,-972,191,terminated
66,0.9933220621715524,-678,194,terminated
67,0.9932227299653352,-680,196,terminated
68,0.9931234076923388,-178,189,terminated
69,0.9930240953515695,-580,195,terminated
70,0.9929247929420344,-470,184,terminated
71,0.9928255004627402,-676,192,terminated
72,0.992726217912694,-381,194,terminated
73,0.9926269452909028,-980,199,terminated
74,0.9925276825963737,-1172,193,terminated
75,0.9924284298281141,-580,195,terminated
76,0.9923291869851313,-378,191,terminated
77,0.9922299540664328,-874,192,terminated
78,0.9921307310710261,-483,197,terminated
79,0.992031517997919,-779,196,terminated
80,0.9919323148461192,-477,191,terminated
81,0.9918331216146347,-582,197,terminated
82,0.9917339383024733,-679,195,terminated
83,0.991634764908643,-977,196,terminated
84,0.9915356014321521,-383,196,terminated
85,0.9914364478720089,-1175,196,terminated
86,0.9913373042272218,-780,197,terminated
87,0.9912381704967991,-977,196,terminated
88,0.9911390466797494,-379,192,terminated
89,0.9910399327750814,-684,200,terminated
90,0.9909408287818039,-678,194,terminated
91,0.9908417346989258,-478,192,terminated
92,0.9907426505254558,-476,190,terminated
93,0.9906435762604033,-478,192,terminated
94,0.9905445119027773,-677,193,terminated
95,0.990445457451587,-882,200,terminated
96,0.9903464129058418,-876,194,terminated
