episode,loss,epsilon,reward,steps,exit_reason
629,95960.5859375,0.9993701980935106,-2383,207,terminated
630,15846.759765625,0.9993691987233124,-1485,200,terminated
631,21556.296875,0.9993681993541137,-1179,191,terminated
632,40829.46484375,0.9993671999859143,-1082,193,terminated
633,24428.759765625,0.9993662006187143,-1675,192,terminated
634,17985.669921875,0.9993652012525136,-1581,197,terminated
635,30900.505859375,0.9993642018873123,-1079,190,terminated
636,18195.103515625,0.9993632025231104,-1275,188,terminated
637,50160.96484375,0.9993622031599079,-1972,192,terminated
638,16888.076171875,0.9993612037977047,-1276,189,terminated
639,25159.650390625,0.9993602044365009,-1672,189,terminated
640,22336.90234375,0.9993592050762964,-1578,194,terminated
641,41296.37890625,0.9993582057170913,-1081,192,terminated
642,16481.310546875,0.9993572063588856,-1273,186,terminated
643,29057.033203125,0.9993562070016792,-1773,191,terminated
644,13113.3486328125,0.9993552076454721,-1378,192,terminated
645,16591.3203125,0.9993542082902644,-1484,199,terminated
646,25994.70703125,0.9993532089360562,-1773,191,terminated
647,36040.30859375,0.9993522095828472,-1776,194,terminated
