episode,learning_rate,epsilon,reward,steps,exit_reason
0,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-416.19410033472855,193,terminated
1,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-418.8762744506604,197,terminated
2,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-419.6184942908804,196,terminated
3,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-418.4552116652691,193,terminated
4,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-386.4891204251295,188,terminated
5,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-444.59166694267884,198,terminated
6,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-416.0002707486829,193,terminated
7,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-477.7914257733279,202,terminated
8,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-402.78131050012246,198,terminated
9,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-405.5938447054813,197,terminated
10,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-396.30024987019533,197,terminated
11,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-439.67069756180547,192,terminated
12,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-377.34623912494476,192,terminated
13,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-396.49702881747396,191,terminated
14,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-406.54714291281516,195,terminated
15,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-429.1663501832741,191,terminated
16,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-462.5246540780219,196,terminated
17,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-391.70817308318476,191,terminated
18,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-409.12297389949396,199,terminated
19,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-443.16115423562337,195,terminated
20,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-437.74726113381314,194,terminated
21,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-424.4076448631479,189,terminated
22,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-393.9681648928697,197,terminated
23,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-442.18929655497664,199,terminated
24,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-434.64525674492927,193,terminated
25,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-388.62991030629667,196,terminated
26,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-385.4100946435348,185,terminated
27,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-422.67861233124194,195,terminated
28,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-405.91615944514433,199,terminated
29,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-445.2268004780272,194,terminated
30,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-437.4547454949402,194,terminated
31,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-437.487772463928,192,terminated
32,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-480.0520340503816,203,terminated
33,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-432.48616950191507,197,terminated
34,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-395.9284835771683,202,terminated
35,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-393.7627121849186,192,terminated
36,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-402.6502809698262,195,terminated
37,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-399.47809629458607,200,terminated
38,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-420.02227012758505,199,terminated
39,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-440.50702178254903,187,terminated
40,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-447.6927484399578,194,terminated
41,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-399.2626177071615,197,terminated
42,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-384.16726545882386,200,terminated
43,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-447.517573120974,193,terminated
44,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-392.8334238185289,192,terminated
45,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-400.9022668465939,190,terminated
46,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-393.89414353210293,190,terminated
47,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-463.61378190473715,198,terminated
48,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-408.84970304666325,190,terminated
49,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-403.2329908562229,192,terminated
50,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-408.66681585041454,195,terminated
51,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-382.5105596692399,186,terminated
52,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-407.11769959787574,188,terminated
53,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-381.39244258370223,192,terminated
54,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-405.9410944388771,198,terminated
55,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-448.92731144825603,190,terminated
56,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-437.3120348113877,190,terminated
57,<keras.src.optimizers.schedules.learning_rate_schedule.ExponentialDecay object at 0x140437df0>,1,-451.40794307814565,199,terminated
