episode,epsilon,reward,steps,exit_reason
0,1,-390.3804559625412,190,terminated
1,1,-420.35141564643004,192,terminated
2,1,-419.67701944172325,190,terminated
3,1,-423.81694185404683,190,terminated
4,1,-409.4907248738373,189,terminated
5,1,-434.10115729594224,193,terminated
6,1,-415.62014146015605,198,terminated
7,1,-409.46469246966774,192,terminated
8,1,-434.92511991852314,195,terminated
9,1,-397.79160964454627,197,terminated
10,1,-447.706090664025,204,terminated
11,1,-385.51244837048205,183,terminated
12,1,-453.0526079716304,197,terminated
13,1,-412.5933338950276,190,terminated
14,1,-401.68711394387947,196,terminated
15,1,-376.612387990888,186,terminated
16,1,-442.292290766145,200,terminated
17,1,-396.5334306293569,194,terminated
18,1,-402.1419461778299,194,terminated
19,1,-453.0780374465544,195,terminated
20,1,-417.5542770297745,198,terminated
21,1,-421.9030965960952,198,terminated
22,1,-410.5269251292845,195,terminated
23,1,-403.2116709356512,197,terminated
24,1,-473.8673320551334,198,terminated
25,1,-460.8951161330064,200,terminated
26,1,-387.26232695756187,193,terminated
27,1,-437.92757818142076,194,terminated
28,1,-390.62829009342255,189,terminated
29,1,-411.69646876297776,192,terminated
30,1,-424.3424370177837,184,terminated
31,1,-409.7891970884939,190,terminated
32,1,-470.7236361765882,204,terminated
33,1,-434.1999319003943,204,terminated
34,1,-400.3244301873227,198,terminated
35,1,-404.8971214863349,194,terminated
36,1,-442.0075109811206,198,terminated
37,1,-397.1980809219631,190,terminated
38,1,-389.8601434719242,190,terminated
39,1,-468.0602917265481,195,terminated
40,1,-418.75249719073156,188,terminated
41,1,-425.59614540972433,191,terminated
42,1,-413.4109990897756,191,terminated
43,1,-416.33983759017474,192,terminated
44,1,-429.2777097606276,188,terminated
45,1,-439.74360907473016,191,terminated
46,1,-425.43481399926407,202,terminated
47,1,-379.3417547829361,191,terminated
48,1,-378.1631063754034,185,terminated
49,1,-402.4908640859264,192,terminated
50,1,-428.1262482906412,201,terminated
51,1,-402.43047130481193,192,terminated
52,1,-447.255886981162,190,terminated
53,1,-409.1954074084335,198,terminated
54,1,-397.8771243924923,196,terminated
55,1,-440.24986607758194,194,terminated
56,1,-369.59241964437746,183,terminated
57,1,-405.16642997410463,188,terminated
58,1,-396.33235285487956,192,terminated
59,1,-405.89451940869077,191,terminated
60,1,-389.6198632224117,188,terminated
61,1,-445.5817774132831,193,terminated
62,1,-396.2443433648473,191,terminated
63,1,-415.86975486257916,192,terminated
64,1,-401.9487798688915,193,terminated
65,1,-446.1404276870857,192,terminated
66,1,-448.7024011977846,190,terminated
67,1,-426.61749353082797,187,terminated
68,1,-431.6835764736721,190,terminated
69,1,-399.5819783470665,197,terminated
70,1,-402.30848820815595,201,terminated
71,1,-446.43484002186557,194,terminated
72,1,-404.05509930912694,197,terminated
73,1,-440.02661386438535,193,terminated
74,1,-424.65350683913886,188,terminated
75,1,-386.91706978171214,189,terminated
76,1,-390.3051405021843,194,terminated
77,1,-407.39370119768313,193,terminated
78,1,-399.30788900658035,190,terminated
79,1,-433.3284115525962,191,terminated
80,1,-450.29409534874833,198,terminated
81,1,-393.53642346864194,192,terminated
82,1,-412.89047423289725,199,terminated
83,1,-386.0676435240715,189,terminated
84,1,-381.65232260369766,197,terminated
85,1,-446.84843209951157,201,terminated
86,1,-394.5188655538801,185,terminated
87,1,-394.27275886654405,190,terminated
88,1,-385.9600048038482,192,terminated
89,1,-401.95492712208437,192,terminated
90,1,-405.8995692481483,195,terminated
91,1,-429.2698018350612,190,terminated
92,1,-389.188482935943,187,terminated
93,1,-422.5841851447267,186,terminated
94,1,-456.8294434931074,194,terminated
95,1,-473.89171817095223,197,terminated
96,1,-406.8219581025233,197,terminated
97,1,-411.2398766899445,190,terminated
98,1,-392.55080039454924,189,terminated
99,1,-403.793879951571,189,terminated
100,1,-406.50115889177613,194,terminated
101,1,-412.58264331452256,189,terminated
102,1,-409.35017449946184,200,terminated
103,1,-382.1483684353619,195,terminated
104,1,-408.1454686036891,197,terminated
105,1,-454.70877166281446,188,terminated
106,1,-452.88329384327596,198,terminated
107,1,-399.84698582990507,191,terminated
108,1,-421.6606773960823,190,terminated
109,1,-438.78940216749095,200,terminated
