episode,epsilon,reward,steps,exit_reason
0,1,-120801.95963376995,82,terminated
1,0.9966056040206351,-100934.22179261083,80,terminated
2,0.9885653037848035,-110697.82141520682,81,terminated
3,0.9796097214374486,-211113.24246562007,91,terminated
4,0.9709294454237271,-191172.27544508508,89,terminated
5,0.961941212232314,-230960.52774798928,93,terminated
6,0.9540851553381419,-121051.60335703944,82,terminated
7,0.9456310513131457,-190975.24302895198,89,terminated
8,0.9380019977194178,-110703.91307623903,81,terminated
9,0.929783384141738,-180899.00708730676,88,terminated
10,0.9225589245386892,-80703.40680384691,78,terminated
11,0.9152990602586691,-90813.67084413371,79,terminated
12,0.9070979191478462,-200839.8331210187,90,terminated
13,0.8990601668293806,-190885.94094599754,89,terminated
