episode,epsilon,reward,steps,exit_reason
0,0.997002999,-399.86752025628596,198,terminated
1,0.994014980014994,-383.75202244866233,190,terminated
2,0.9910359161258742,-407.18722873937946,194,terminated
3,0.988065780494209,-447.28053083371844,191,terminated
4,0.9851045463620021,-403.84682165590596,200,terminated
5,0.9821521870514506,-410.3566297694699,191,terminated
6,0.9792086759647052,-430.7424862787378,199,terminated
7,0.9762739865836303,-446.19988384611855,196,terminated
8,0.9733480924695651,-379.3367245145558,190,terminated
9,0.9704309672630859,-442.5148470407122,195,terminated
10,0.9675225846837673,-449.10447638131575,195,terminated
11,0.9646229185299474,-400.67786595823486,189,terminated
12,0.9617319426784903,-414.3472800588454,195,terminated
13,0.9588496310845509,-454.7953764058969,189,terminated
14,0.9559759577813409,-388.1519750603221,193,terminated
15,0.9531108968798944,-443.6395812703362,192,terminated
16,0.9502544225688344,-411.787516702491,199,terminated
17,0.9474065091141411,-384.9794536586469,201,terminated
18,0.9445671308589195,-387.6656638312926,191,terminated
19,0.9417362622231683,-425.4781614360479,190,terminated
20,0.9389138777035492,-425.91681898411923,199,terminated
21,0.9360999518731578,-432.93591568447494,187,terminated
22,0.933294459381294,-376.45481370471776,192,terminated
23,0.9304973749532338,-396.5127213857145,190,terminated
24,0.9277086733900016,-392.37167218578287,191,terminated
25,0.9249283295681431,-379.7265661770421,187,terminated
26,0.9221563184394991,-470.85949264558457,200,terminated
27,0.9193926150309796,-374.5556655034768,184,terminated
28,0.9166371944443392,-449.8051277530933,198,terminated
29,0.9138900318559524,-423.85242169937567,201,terminated
30,0.9111511025165902,-379.58060929987823,193,terminated
31,0.9084203817511969,-386.7799959029829,185,terminated
32,0.9056978449586682,-394.39230998403616,194,terminated
33,0.9029834676116293,-441.1829262968384,196,terminated
34,0.9002772252562138,-412.63609806200134,189,terminated
35,0.8975790935118436,-423.90663622968754,191,terminated
36,0.8948890480710096,-385.2189712015039,196,terminated
37,0.8922070646990518,-398.39807188209346,201,terminated
38,0.8895331192339416,-444.57295873446105,195,terminated
39,0.8859803203984784,-510.3721736413811,199,terminated
40,0.8833250364922639,-407.4437433826915,190,terminated
41,0.8815592697443159,-417.18562825569376,185,terminated
42,0.8780383184956015,-477.18038197417894,209,terminated
43,0.8754068367770318,-402.64910904467945,191,terminated
44,0.8736568985103146,-378.73015906949314,182,terminated
45,0.8701675093639105,-408.06386743856774,201,terminated
46,0.8675596164681794,-422.7686535646866,199,terminated
47,0.8649595394300645,-426.35539143694086,191,terminated
48,0.862367254825433,-462.73320095618465,196,terminated
49,0.8597827393003539,-438.8097734099452,215,terminated
50,0.857205969570888,-463.16254357690013,198,terminated
51,0.8546369224228781,-386.97222362778723,185,terminated
52,0.8520755747117399,-407.01197625591044,191,terminated
53,0.8495219033622532,-457.89549241839387,197,terminated
54,0.8469758853683546,-465.4485214836655,188,terminated
55,0.8444374977929298,-418.35790121771186,193,terminated
56,0.8419067177676068,-404.6248300085509,187,terminated
57,0.8393835224925505,-398.1383107329507,179,terminated
58,0.8368678892362568,-394.81175415556515,186,terminated
59,0.8343597953353479,-418.47143352000444,194,terminated
60,0.831859218194368,-454.6956757037113,199,terminated
61,0.8293661352855802,-434.4034210439695,192,terminated
62,0.8268805241487632,-375.7810330216727,181,terminated
63,0.8244023623910088,-385.485804518953,184,terminated
64,0.8219316276865206,-372.7514196367838,185,terminated
65,0.8194682977764125,-439.1250023940235,192,terminated
66,0.8178301806491574,-444.92600621921395,190,terminated
67,0.8153791427799216,-450.43396905360333,188,terminated
68,0.8121225152229574,-425.42872078223604,205,terminated
69,0.8104990823150267,-407.6451727631218,183,terminated
70,0.8072619457390746,-377.69531858013045,195,terminated
71,0.8048425808804326,-435.0115675295297,211,terminated
72,0.8024304668606914,-480.59049616218357,212,terminated
73,0.8000255819490795,-480.5111685653209,206,terminated
74,0.7976279044799526,-432.91859633757235,200,terminated
75,0.7952374128525983,-361.9671274261087,181,terminated
76,0.7928540855310416,-399.4959784979856,189,terminated
77,0.790477901043851,-468.6220950076703,198,terminated
78,0.7881088379839447,-310.4925611562003,180,terminated
79,0.7857468750083979,-391.57290272437353,196,terminated
80,0.7833919908382508,-416.56159847657415,186,terminated
81,0.7810441642583167,-439.97890841174376,186,terminated
82,0.7787033741169904,-430.6299499082308,205,terminated
83,0.7763695993260584,-394.78570229526815,189,terminated
