episode,step,action,reward,total_reward
0,1,35,-1.000741620313923,-1.000741620313923
0,2,41,-1.0009569804716332,-2.001698600785556
0,3,47,-1.0003099051260735,-3.00200850591163
0,4,32,-1.0006913321848867,-4.002699838096516
0,5,23,-1.0026955135097004,-5.005395351606217
0,6,5,-1.0084329592898669,-6.013828310896084
0,7,44,-1.0105315368050989,-7.024359847701183
0,8,17,-1.0143340667511453,-8.038693914452328
0,9,34,-1.0166642251104516,-9.05535813956278
0,10,21,-1.0198885722760274,-10.075246711838806
0,11,17,-1.0242032353214539,-11.09944994716026
0,12,30,-1.026712736502324,-12.126162683662583
0,13,36,-1.0276339413812143,-13.153796625043798
0,14,23,-1.0294042815536835,-14.183200906597481
0,15,15,-1.0329202242008388,-15.216121130798319
0,16,2,-101.04441473319973,-116.26053586399804
0,17,9,-1.0465444084070923,-117.30708027240513
0,18,41,-1.0460568386763902,-118.35313711108152
0,19,23,-1.0466912628432063,-119.39982837392473
0,20,29,-1.0471187778203461,-120.44694715174508
0,21,3,-1.0525012765142987,-121.49944842825937
0,22,5,-101.06200762209942,-222.5614560503588
0,23,36,-1.060334333423804,-223.6217903837826
0,24,44,-1.0577986032274196,-224.67958898701002
0,25,13,-1.0582847509683142,-225.73787373797833
0,26,32,-1.0647308208132789,-226.80260455879161
0,27,23,-1.0779383318505282,-227.88054289064215
0,28,40,-1.0946770274955482,-228.9752199181377
0,29,46,-1.11510782612636,-230.09032774426404
0,30,10,-1.1436213901677756,-231.2339491344318
0,31,25,-1.1762080129610817,-232.41015714739288
0,32,31,-1.2116666707491213,-233.621823818142
0,33,45,-1.248662836865057,-234.87048665500706
0,34,9,-1.2740755185475159,-236.14456217355456
0,35,37,-1.2873856532785002,-237.43194782683307
0,36,15,-1.2904279688883675,-238.72237579572143
0,37,38,-1.2832213885451207,-240.00559718426655
0,38,25,-1.2669344650381285,-241.27253164930468
0,39,10,-1.2426935690296297,-242.5152252183343
0,40,11,-1.21141008956874,-243.72663530790305
0,41,16,-1.174442972514307,-244.90107828041735
0,42,39,-1.1333453309681798,-246.03442361138553
0,43,39,-1.0992918910268696,-247.1337155024124
0,44,14,-1.0720971506070691,-248.20581265301948
0,45,30,-1.05070123388617,-249.25651388690565
0,46,22,-1.034891456026367,-250.29140534293202
0,47,32,-1.0237567393880078,-251.31516208232003
0,48,37,-1.0164425835332924,-252.33160466585332
0,49,1,-1.0163162997811281,-253.34792096563444
0,50,12,-101.02326848281801,-354.37118944845247
0,51,6,-1.0214886001759216,-355.3926780486284
0,52,15,-1.0255201648558043,-356.4181982134842
0,53,49,-1.021532030528547,-357.4397302440127
0,54,9,-1.0253166496222925,-358.465046893635
0,55,15,-1.0257327112410022,-359.490779604876
0,56,9,-101.03334574475126,-460.5241253496273
0,57,43,-1.0274717242380706,-461.55159707386537
0,58,17,-1.026647646649748,-462.5782447205151
0,59,12,-101.03364382403774,-563.6118885445528
0,60,31,-1.0292199251796879,-564.6411084697324
0,61,4,-101.0357371678013,-665.6768456375337
0,62,2,-1.038956342037324,-666.715801979571
0,63,47,-1.0432786881680924,-667.7590806677391
0,64,33,-1.0512008651303995,-668.8102815328696
0,65,46,-1.0594129328185122,-669.8696944656881
0,66,44,-1.0691734210911714,-670.9388678867792
0,67,46,-1.0800278133351395,-672.0188957001144
0,68,32,-1.0892315395335732,-673.108127239648
0,69,33,-1.0973024382306504,-674.2054296778786
0,70,2,-1.1062952127643098,-675.3117248906428
0,71,5,-1.115927782961285,-676.4276526736041
0,72,22,-1.125124228721507,-677.5527769023256
0,73,22,-1.1339432104407186,-678.6867201127664
0,74,39,-1.141609963728151,-679.8283300764945
0,75,38,-1.1483739149810783,-680.9767039914756
