episode,epsilon,total_reward,steps,exit_reason
0,0.9981017090313877,-689.5158317025716,83,terminated
1,0.9900493386913721,13.953872295889346,81,terminated
2,0.9813746951860012,-593.6528269726042,88,terminated
3,0.9730679486215463,-392.5979269015901,85,terminated
4,0.9640599185586783,-404.0493039068861,93,terminated
5,0.9560909397917597,-589.9308095002227,83,terminated
6,0.9475243006980895,-700.7016879358633,90,terminated
7,0.9396920063686125,-489.8996162083609,83,terminated
8,0.9321108671196119,11.16418532174086,81,terminated
9,0.9232973039102704,-606.55226189333,95,terminated
10,0.9160316291244037,-183.79059901360176,79,terminated
11,0.9081871445175079,-392.7689101971091,86,terminated
12,0.900499886552116,-591.7821974248167,85,terminated
13,0.893502961070434,-181.28977063846017,78,terminated
14,0.8849659490117532,-308.4065741368653,96,terminated
15,0.8778263223632209,-586.3476994642642,81,terminated
16,0.8703960504973899,-691.2225565969817,85,terminated
17,0.8637194051451439,320.41557675148647,77,terminated
18,0.8574368984075403,2525.1084535182176,73,terminated
19,0.8497542061566828,-397.594023138492,90,terminated
20,0.8419719316959959,-1000.8720113985456,92,terminated
21,0.8357640265800769,2723.0327607433906,74,terminated
22,0.8295189324989375,3023.1893404224766,75,terminated
23,0.822908925814934,-586.9236586825199,80,terminated
24,0.8156987381102812,-596.0781348050209,88,terminated
25,0.8096035782333834,2220.725435155237,75,terminated
26,0.8029916442695944,-87.58145298565702,82,terminated
27,0.7967523623093486,318.5624614550169,78,terminated
28,0.790877863552439,2824.5379576326573,74,terminated
29,0.7842619842952728,-688.3037356150038,84,terminated
30,0.7770017970270515,-803.9799433275329,93,terminated
31,0.7709644573736867,2720.358982510353,78,terminated
32,0.7650505331800633,-182.39633715050877,77,terminated
33,0.7584989830586281,-591.570507516932,86,terminated
34,0.7520787453527122,-590.233198222281,85,terminated
35,0.7456382798125303,-591.1970418855036,86,terminated
36,0.7396227049323206,-183.6266911321707,81,terminated
37,0.7336556618162651,-86.4684928325004,81,terminated
38,0.7281735538462065,2923.0705352102145,75,terminated
39,0.7225878706722799,1619.8863070648154,77,terminated
40,0.7171884647506059,2622.807173640167,75,terminated
41,0.7116158774364688,718.5880216487111,78,terminated
42,0.7062278278850299,1820.359992939039,76,terminated
43,0.7010908805610024,3026.7559445563365,73,terminated
44,0.6952260905247033,-488.8393077639257,84,terminated
45,0.6894793087666956,-590.475249867176,83,terminated
46,0.6839168067834508,-485.5797167065415,81,terminated
47,0.678467028017676,-485.36634082982397,80,terminated
48,0.6734646535017823,2523.051527954223,74,terminated
49,0.6676974038351606,-791.6630715755264,86,terminated
50,0.6622444003398142,-287.2178281416013,82,terminated
51,0.6567702472677635,-485.848751937905,83,terminated
52,0.6514716316943703,-685.5122947212759,81,terminated
53,0.6462157636831749,-483.99009331476196,81,terminated
54,0.6408100169002243,-189.45556280411427,84,terminated
55,0.6357037338138014,-384.52905419535915,80,terminated
56,0.6303859226319947,-488.1360786354336,84,terminated
57,0.6258632191217761,3627.431413603839,72,terminated
58,0.6214972569822229,3030.571104208474,70,terminated
59,0.6168532322125683,3224.0334329410252,75,terminated
60,0.6121826846791161,2321.764314972446,76,terminated
61,0.6080945667711767,2834.527950907005,67,terminated
62,0.6039733456855552,2933.2542408584595,68,terminated
