episode,step,action,reward,total_reward
0,1,3,-1.0044510268334699,-1.0044510268334699
0,2,10,-1.0046406625431872,-2.009091689376657
0,3,9,-1.0040645071345906,-3.0131561965112477
0,4,8,-1.0035953833523168,-4.0167515798635645
0,5,3,-1.0058087016709032,-5.022560281534467
0,6,7,-1.0074856697945718,-6.030045951329039
0,7,9,-1.007744123218735,-7.0377900745477735
0,8,8,-1.007687063440485,-8.045477137988259
0,9,7,-1.0079143569349018,-9.053391494923162
0,10,8,-1.0078274782159025,-10.061218973139065
0,11,2,-1.0108471558350416,-11.072066128974106
0,12,10,-1.0109967272701414,-12.083062856244247
0,13,0,-1.0159756705678817,-13.099038526812128
0,14,10,-1.0163828349214592,-14.115421361733588
0,15,6,-1.0173629021366135,-15.132784263870201
0,16,9,-1.0170359657517987,-16.149820229622
0,17,6,-1.017566210794372,-17.167386440416372
0,18,1,-1.022438960360755,-18.189825400777128
0,19,5,-1.0253749004965065,-19.215200301273633
0,20,4,-1.0287400085926937,-20.243940309866325
0,21,10,-1.0281539103247699,-21.272094220191093
0,22,4,-1.0295829770728662,-22.30167719726396
0,23,0,-101.04003681588318,-123.34171401314714
0,24,10,-1.0370443567385106,-124.37875836988565
0,25,3,-1.0371568093445203,-125.41591517923017
0,26,0,-101.05247933330236,-226.46839451253254
0,27,8,-1.063359158764806,-227.53175367129734
0,28,7,-1.0801903413346414,-228.61194401263197
0,29,1,-1.1065735574206939,-229.71851757005265
0,30,10,-1.1327544160461298,-230.8512719860988
0,31,9,-1.16260363221221,-232.013875618311
0,32,3,-1.1915167820901562,-233.20539240040117
0,33,9,-1.2180029287577334,-234.4233953291589
0,34,4,-1.2327425783083261,-235.6561379074672
0,35,0,-1.237255290303075,-236.89339319777028
0,36,1,-1.2321876146114656,-238.12558081238174
0,37,10,-1.2173116399496056,-239.34289245233134
0,38,2,-1.194237160574684,-240.53712961290603
0,39,9,-1.1631264637765888,-241.70025607668262
0,40,10,-1.124958944953888,-242.8252150216365
0,41,6,-1.0917057677673863,-243.9169207894039
0,42,4,-1.0644712572094166,-244.9813920466133
0,43,6,-1.043154866730127,-246.02454691334344
0,44,10,-1.0265923934458772,-247.0511393067893
0,45,6,-1.0150836132267038,-248.066222920016
0,46,10,-1.0070654853534542,-249.07328840536945
0,47,1,-1.0055661500646913,-250.07885455543413
0,48,5,-1.0070341022426668,-251.0858886576768
0,49,3,-101.01258848883154,-352.09847714650834
0,50,6,-1.0099561494748608,-353.1084332959832
0,51,10,-1.0076681059410748,-354.1161014019243
0,52,6,-1.0079894084089045,-355.1240908103332
0,53,3,-101.01455813392785,-456.13864894426104
0,54,5,-1.0114396307898785,-457.1500885750509
0,55,0,-101.02015006593204,-558.1702386409829
0,56,3,-1.0156662235865213,-559.1859048645695
0,57,8,-1.0135636421753413,-560.1994685067448
0,58,3,-101.01964516195213,-661.2191136686969
0,59,1,-1.0190213045180712,-662.238134973215
0,60,7,-1.0188189700270314,-663.256953943242
0,61,2,-101.02659233014238,-764.2835462733844
0,62,0,-1.0277850514456017,-765.31133132483
0,63,3,-101.03935021331566,-866.3506815381456
0,64,5,-1.04421991513229,-867.394901453278
0,65,8,-1.0518888155827322,-868.4467902688607
0,66,3,-101.06859916697884,-969.5153894358396
0,67,1,-1.0786825883649072,-970.5940720242045
