episode,epsilon,total_reward,steps,exit_reason
0,0.9675225846837673,-1009.0399365204817,97,terminated
1,0.8824417114557717,-800.8713753706904,92,terminated
2,0.8032337005612527,-905.2964731943907,94,terminated
3,0.7325998717165821,-903.3524996374371,92,terminated
4,0.6668416716372578,-806.6069760077187,94,terminated
5,0.6045616265570569,-1108.8454890456544,98,terminated
6,0.5513983909676525,-800.3708012704783,92,terminated
7,0.5044219150017507,-598.2467325309572,89,terminated
8,0.46983310087889063,-271.1459356282006,71,terminated
9,0.43849262988420123,-267.90902314186695,69,terminated
10,0.4039543904876318,-384.76428544858794,82,terminated
11,0.3736288596154426,-480.00094358010244,78,terminated
12,0.350104061566005,-162.45854714223742,65,terminated
13,0.323497343674428,-480.4566274526409,79,terminated
14,0.30282584784472627,-163.9022015347288,66,terminated
15,0.2817786564875052,-371.43687184404195,72,terminated
16,0.26219430017947276,-70.62007403978717,72,terminated
17,0.24397110804469957,-271.444172383193,72,terminated
18,0.22701447560002463,-273.11365727974265,72,terminated
19,0.20871543237179296,-288.86792385649994,84,terminated
20,0.19401495277224837,-173.73035002261162,73,terminated
21,0.18125433479425698,-66.8831361361538,68,terminated
22,0.1674796218391289,-81.29816920262387,79,terminated
23,0.15599534382329297,-72.0834540981628,71,terminated
24,0.14515325793250114,-72.82623915398995,72,terminated
25,0.13479473108588316,-175.42747836297025,74,terminated
26,0.12542614343294137,-272.43118615323823,72,terminated
27,0.1167086972148597,-172.92452091665334,72,terminated
28,0.10859713639263872,-71.82811303958617,72,terminated
29,0.10115050084163021,-272.03399610206276,71,terminated
30,0.09355696377843006,-180.32869094872837,78,terminated
31,0.08749109062109678,-67.21960074454023,67,terminated
32,0.08076122324665379,-79.62879952797016,80,terminated
33,0.07537400218895772,-169.6630242490832,69,terminated
34,0.06943710575225537,-188.1746516267665,82,terminated
35,0.06474046080797893,-68.72365645885975,70,terminated
36,0.059581483043601974,-186.72098095784318,83,terminated
37,0.05527425859298888,-274.6188287886837,75,terminated
38,0.05097150680858348,-84.7845268546771,81,terminated
39,0.04719218283086521,-78.69567087242751,77,terminated
40,0.04338814438188925,-191.1957872656449,84,terminated
41,0.04025155786537634,-76.37507903134745,75,terminated
42,0.037267073252190155,-178.49584508787024,77,terminated
43,0.03440046753679158,-282.49324294674943,80,terminated
44,0.03156431236286105,-91.70517131473987,86,terminated
45,0.02942933904459626,-66.31447614853013,70,terminated
46,0.027466239073575264,-69.0837855540147,69,terminated
47,0.025480668213959144,-77.82598690877008,75,terminated
48,0.02349715919156292,-84.58415552099908,81,terminated
49,0.021559930008775024,-190.19885004622105,86,terminated
50,0.019961351400022365,-380.17122999101025,77,terminated
51,0.0184628194063454,-183.48702334606202,78,terminated
52,0.01716242538684816,-74.30789979218034,73,terminated
53,0.015858139430950966,-181.20944565397056,79,terminated
54,0.014682324738666848,-376.535596411438,77,terminated
55,0.013580098094712154,-80.01428129554293,78,terminated
56,0.012598374787951502,-76.39733719176031,75,terminated
