episode,total_reward,steps,exit_reason
0,-134,34,terminated
1,-41,41,terminated
2,-141,41,terminated
3,-39,39,terminated
4,-134,34,terminated
5,71,29,terminated
6,-29,29,terminated
7,76,24,terminated
8,74,26,terminated
9,76,24,terminated
10,74,26,terminated
11,72,28,terminated
12,75,25,terminated
13,70,30,terminated
14,71,29,terminated
15,69,31,terminated
16,70,30,terminated
17,-4096,96,terminated
18,75,25,terminated
19,74,26,terminated
20,75,25,terminated
21,75,25,terminated
22,72,28,terminated
23,75,25,terminated
24,74,26,terminated
25,75,25,terminated
26,75,25,terminated
27,75,25,terminated
28,75,25,terminated
29,75,25,terminated
30,75,25,terminated
31,74,26,terminated
32,75,25,terminated
33,75,25,terminated
34,75,25,terminated
35,74,26,terminated
36,75,25,terminated
37,75,25,terminated
38,75,25,terminated
39,75,25,terminated
40,75,25,terminated
41,75,25,terminated
42,75,25,terminated
43,75,25,terminated
44,75,25,terminated
45,75,25,terminated
46,75,25,terminated
47,75,25,terminated
48,75,25,terminated
49,75,25,terminated
50,75,25,terminated
51,75,25,terminated
52,75,25,terminated
