episode,action,ghost_action,step,total_reward
0,10,10,0,0
0,10,10,1,-1.0
0,10,10,2,-2.0
0,10,10,3,-3.0
0,10,10,4,-4.0
0,10,10,5,-5.0
0,10,10,6,-6.0
0,10,10,7,-7.0
0,10,10,8,-8.0
0,10,10,9,-9.0
0,10,10,10,-10.0
0,10,10,11,-11.0
0,10,10,12,-12.0
0,10,10,13,-13.0
0,10,10,14,-14.0
0,10,10,15,-15.0
0,10,10,16,-16.0
0,10,10,17,-17.0
0,10,10,18,-18.0
0,10,10,19,-19.0
0,10,10,20,-20.0
0,10,10,21,-21.0
0,8,8,22,-22.0
0,8,8,23,-23.0
0,8,8,24,-24.0
0,8,8,25,-25.0
0,8,8,26,-26.0
0,8,8,27,-27.0
0,8,8,28,-28.0
0,8,8,29,-29.0
0,8,8,30,-30.0
0,10,10,31,-31.0
0,10,10,32,-32.0
0,10,10,33,-33.0
0,10,10,34,-34.0
0,10,10,35,-35.0
0,10,10,36,-36.0
0,10,10,37,-37.0
0,10,10,38,-38.0
0,10,10,39,-39.0
0,10,10,40,-40.0
0,10,10,41,-41.0
0,10,10,42,-42.0
0,10,10,43,-43.0
0,10,10,44,-44.0
0,10,10,45,-45.0
0,10,10,46,-46.0
0,10,10,47,-47.0
0,10,10,48,-48.0
0,10,10,49,-49.0
0,10,10,50,-50.0
0,10,10,51,-51.0
0,10,10,52,-52.0
0,10,10,53,-53.0
0,10,10,54,-54.0
0,10,10,55,-55.0
0,10,10,56,-56.0
0,10,10,57,-57.0
0,10,10,58,-58.0
0,10,10,59,-59.0
0,10,10,60,-60.0
0,10,10,61,-61.0
1,10,10,0,0
1,10,10,1,-1.0
1,10,10,2,-2.0
1,10,10,3,-3.0
1,10,10,4,-4.0
1,10,10,5,-5.0
1,10,10,6,-6.0
1,10,10,7,-7.0
1,10,10,8,-8.0
1,10,10,9,-9.0
1,10,10,10,-10.0
1,10,10,11,-11.0
1,10,10,12,-12.0
1,10,10,13,-13.0
1,10,10,14,-14.0
1,10,10,15,-15.0
1,10,10,16,-16.0
1,10,10,17,-17.0
1,10,10,18,-18.0
1,10,10,19,-19.0
1,10,10,20,-20.0
1,10,10,21,-21.0
1,8,8,22,-22.0
1,8,8,23,-23.0
1,8,8,24,-24.0
1,8,8,25,-25.0
1,8,8,26,-26.0
1,8,8,27,-27.0
1,8,8,28,-28.0
1,8,8,29,-29.0
1,8,8,30,-30.0
1,10,10,31,-31.0
1,10,10,32,-32.0
1,10,10,33,-33.0
1,10,10,34,-34.0
1,10,10,35,-35.0
1,10,10,36,-36.0
1,10,10,37,-37.0
1,10,10,38,-38.0
1,10,10,39,-39.0
1,10,10,40,-40.0
1,10,10,41,-41.0
1,10,10,42,-42.0
1,10,10,43,-43.0
1,10,10,44,-44.0
1,10,10,45,-45.0
1,10,10,46,-46.0
1,10,10,47,-47.0
1,10,10,48,-48.0
1,10,10,49,-49.0
1,10,10,50,-50.0
1,10,10,51,-51.0
1,10,10,52,-52.0
1,10,10,53,-53.0
1,10,10,54,-54.0
1,10,10,55,-55.0
1,10,10,56,-56.0
1,10,10,57,-57.0
1,10,10,58,-58.0
1,10,10,59,-59.0
1,10,10,60,-60.0
1,10,10,61,-61.0
2,10,10,0,0
2,10,10,1,-1.0
2,10,10,2,-2.0
2,10,10,3,-3.0
2,10,10,4,-4.0
2,10,10,5,-5.0
2,10,10,6,-6.0
2,10,10,7,-7.0
2,10,10,8,-8.0
2,10,10,9,-9.0
2,10,10,10,-10.0
2,10,10,11,-11.0
2,10,10,12,-12.0
2,10,10,13,-13.0
2,10,10,14,-14.0
2,10,10,15,-15.0
2,10,10,16,-16.0
2,10,10,17,-17.0
2,10,10,18,-18.0
2,10,10,19,-19.0
2,10,10,20,-20.0
2,10,10,21,-21.0
2,8,8,22,-22.0
2,8,8,23,-23.0
2,8,8,24,-24.0
2,8,8,25,-25.0
2,8,8,26,-26.0
2,8,8,27,-27.0
2,8,8,28,-28.0
2,8,8,29,-29.0
2,8,8,30,-30.0
2,10,10,31,-31.0
2,10,10,32,-32.0
2,10,10,33,-33.0
2,10,10,34,-34.0
2,10,10,35,-35.0
2,10,10,36,-36.0
2,10,10,37,-37.0
2,10,10,38,-38.0
2,10,10,39,-39.0
2,10,10,40,-40.0
2,10,10,41,-41.0
2,10,10,42,-42.0
2,10,10,43,-43.0
2,10,10,44,-44.0
2,10,10,45,-45.0
2,10,10,46,-46.0
2,10,10,47,-47.0
2,10,10,48,-48.0
2,10,10,49,-49.0
2,10,10,50,-50.0
2,10,10,51,-51.0
2,10,10,52,-52.0
2,10,10,53,-53.0
2,10,10,54,-54.0
2,10,10,55,-55.0
2,10,10,56,-56.0
2,10,10,57,-57.0
2,10,10,58,-58.0
2,10,10,59,-59.0
2,10,10,60,-60.0
2,10,10,61,-61.0
3,10,10,0,0
3,10,10,1,-1.0
3,10,10,2,-2.0
3,10,10,3,-3.0
3,10,10,4,-4.0
3,10,10,5,-5.0
3,10,10,6,-6.0
3,10,10,7,-7.0
3,10,10,8,-8.0
3,10,10,9,-9.0
3,10,10,10,-10.0
3,10,10,11,-11.0
3,10,10,12,-12.0
3,10,10,13,-13.0
3,10,10,14,-14.0
3,10,10,15,-15.0
3,10,10,16,-16.0
3,10,10,17,-17.0
3,10,10,18,-18.0
3,10,10,19,-19.0
3,10,10,20,-20.0
3,10,10,21,-21.0
3,8,8,22,-22.0
3,8,8,23,-23.0
3,8,8,24,-24.0
3,8,8,25,-25.0
3,8,8,26,-26.0
3,8,8,27,-27.0
3,8,8,28,-28.0
3,8,8,29,-29.0
3,8,8,30,-30.0
3,10,10,31,-31.0
3,10,10,32,-32.0
3,10,10,33,-33.0
3,10,10,34,-34.0
3,10,10,35,-35.0
3,10,10,36,-36.0
3,10,10,37,-37.0
3,10,10,38,-38.0
3,10,10,39,-39.0
3,10,10,40,-40.0
3,10,10,41,-41.0
3,10,10,42,-42.0
3,10,10,43,-43.0
3,10,10,44,-44.0
3,10,10,45,-45.0
3,10,10,46,-46.0
3,10,10,47,-47.0
3,10,10,48,-48.0
3,10,10,49,-49.0
3,10,10,50,-50.0
3,10,10,51,-51.0
3,10,10,52,-52.0
3,10,10,53,-53.0
3,10,10,54,-54.0
3,10,10,55,-55.0
3,10,10,56,-56.0
3,10,10,57,-57.0
3,10,10,58,-58.0
3,10,10,59,-59.0
3,10,10,60,-60.0
3,10,10,61,-61.0
4,10,10,0,0
4,10,10,1,-1.0
4,10,10,2,-2.0
4,10,10,3,-3.0
4,10,10,4,-4.0
4,10,10,5,-5.0
4,10,10,6,-6.0
4,10,10,7,-7.0
4,10,10,8,-8.0
4,10,10,9,-9.0
4,10,10,10,-10.0
4,10,10,11,-11.0
4,10,10,12,-12.0
4,10,10,13,-13.0
4,10,10,14,-14.0
4,10,10,15,-15.0
4,10,10,16,-16.0
4,10,10,17,-17.0
4,10,10,18,-18.0
4,10,10,19,-19.0
4,10,10,20,-20.0
4,10,10,21,-21.0
4,8,8,22,-22.0
4,8,8,23,-23.0
4,8,8,24,-24.0
4,8,8,25,-25.0
4,8,8,26,-26.0
4,8,8,27,-27.0
4,8,8,28,-28.0
4,8,8,29,-29.0
4,8,8,30,-30.0
4,10,10,31,-31.0
4,10,10,32,-32.0
4,10,10,33,-33.0
4,10,10,34,-34.0
4,10,10,35,-35.0
4,10,10,36,-36.0
4,10,10,37,-37.0
4,10,10,38,-38.0
4,10,10,39,-39.0
4,10,10,40,-40.0
4,10,10,41,-41.0
4,10,10,42,-42.0
4,10,10,43,-43.0
4,10,10,44,-44.0
4,10,10,45,-45.0
4,10,10,46,-46.0
4,10,10,47,-47.0
4,10,10,48,-48.0
4,10,10,49,-49.0
4,10,10,50,-50.0
4,10,10,51,-51.0
4,10,10,52,-52.0
4,10,10,53,-53.0
4,10,10,54,-54.0
4,10,10,55,-55.0
4,10,10,56,-56.0
4,10,10,57,-57.0
4,10,10,58,-58.0
4,10,10,59,-59.0
4,10,10,60,-60.0
4,10,10,61,-61.0
5,10,10,0,0
5,10,10,1,-1.0
5,10,10,2,-2.0
5,10,10,3,-3.0
5,10,10,4,-4.0
5,10,10,5,-5.0
5,10,10,6,-6.0
5,10,10,7,-7.0
5,10,10,8,-8.0
5,10,10,9,-9.0
5,10,10,10,-10.0
5,10,10,11,-11.0
5,10,10,12,-12.0
5,10,10,13,-13.0
5,10,10,14,-14.0
5,10,10,15,-15.0
5,10,10,16,-16.0
5,10,10,17,-17.0
5,10,10,18,-18.0
5,10,10,19,-19.0
5,10,10,20,-20.0
5,10,10,21,-21.0
5,8,8,22,-22.0
