episode,epsilon,total_reward,steps,exit_reason
0,0.4995501799580064,-277.32837280437855,73,terminated
1,0.49606536553551306,-176.65973448146343,70,terminated
2,0.49226014087333747,-382.51428291528026,77,terminated
3,0.4887772984502753,-175.7971511313352,71,terminated
4,0.48527056594872037,-277.1451543091659,72,terminated
5,0.48125928951059427,-392.64984930319304,83,terminated
6,0.47785428038873756,-276.81010402943474,71,terminated
7,0.4739517025948763,-592.0686936191602,82,terminated
8,0.47064546070961283,-375.5319799724264,70,terminated
9,0.4672688150695382,-178.43524150607064,72,terminated
10,0.4637308564471052,-583.018600220615,76,terminated
11,0.46054196840683587,-372.7991351334828,69,terminated
12,0.4571920864865855,-380.5854842449145,73,terminated
13,0.453685051479269,-286.1576924155336,77,terminated
14,0.4505652443441658,-274.15995505594753,69,terminated
15,0.44724320214759855,-282.7071575766372,74,terminated
16,0.4437681019234358,-288.8733012579781,78,terminated
17,0.4407164896073634,-174.02227894827328,69,terminated
18,0.4377734122897938,-73.41337539976169,67,terminated
19,0.43450223040229574,-182.77854258212633,75,terminated
20,0.4309106081580772,-295.40829273408673,83,terminated
