episode,epsilon,total_reward,steps,exit_reason
0,1,-43139.96514075459,92,terminated
1,0.9704382528072976,-43858.804892254375,96,terminated
2,0.929119067378715,-40297.198693914834,87,terminated
3,0.8926788578425751,-35931.79889324077,80,terminated
4,0.8533891362999211,-42413.2329031031,90,terminated
5,0.8125710744985801,-50606.9522185312,98,terminated
6,0.7799213905557423,-36664.37094571618,82,terminated
7,0.7459674783559345,-40759.88391673509,89,terminated
8,0.7117098046837247,-41671.4539776545,94,terminated
9,0.6824298563078359,-38754.847150481524,84,terminated
10,0.6563209969519368,-32292.17575463748,78,terminated
11,0.628690597806482,-37014.376997871834,86,terminated
12,0.6040332444899652,-35162.44951617331,80,terminated
13,0.5765820235561167,-46102.312208368865,93,terminated
14,0.5479066106144802,-52740.990374952475,102,terminated
15,0.5279996394012851,-32105.450536838238,74,terminated
16,0.506277580659903,-37501.29870109496,84,terminated
17,0.48399464543335374,-42034.91815385191,90,terminated
18,0.45762946982477415,-66111.6439217019,112,terminated
19,0.4401211744969389,-34757.09149424422,78,terminated
20,0.4199091303936546,-45309.953566041244,94,terminated
21,0.4030368827560863,-44014.38959794009,82,terminated
22,0.38742341864255003,-35593.74433968486,79,terminated
23,0.3663188742766895,-56965.57244060691,112,terminated
24,0.3479265227614638,-63329.75973060727,103,terminated
25,0.33111936737064823,-58469.5943228512,99,terminated
26,0.3190888797169468,-31553.43991055389,74,terminated
27,0.305502757620994,-42179.33625577449,87,terminated
28,0.2933741265083631,-38641.23626101132,81,terminated
29,0.2799012669248015,-44439.89807177863,94,terminated
30,0.265847821000119,-57695.338837249205,103,terminated
31,0.2554212237618318,-38835.569944028925,80,terminated
32,0.24126593394525325,-65020.14689996374,114,terminated
33,0.23145591120262313,-42553.76612461129,83,terminated
