episode,epsilon,total_reward,steps,exit_reason
0,1,-37560.210104036676,83,terminated
1,0.9772568626563747,-37076.60484979865,91,terminated
2,0.9384592161744048,-35355.473072478,81,terminated
3,0.9016526843969468,-34972.7981810166,80,terminated
4,0.864990926165076,-38214.16080005053,83,terminated
5,0.8314815741378917,-31541.6398802632,79,terminated
6,0.7984712885083941,-37578.22219719356,81,terminated
7,0.7652391364783871,-37273.15397357394,85,terminated
8,0.735226326002761,-34194.08100580225,80,terminated
9,0.7028666063054774,-40007.00160366212,90,terminated
10,0.6719311439040114,-42046.621914773656,90,terminated
11,0.6407529645269272,-45871.702955072244,95,terminated
12,0.6156225231141397,-36401.03627742942,80,terminated
13,0.5914777019334302,-31831.151534741213,80,terminated
14,0.5671441372359535,-33825.32108558115,84,terminated
15,0.5468116189792482,-24739.90489455702,73,terminated
16,0.526944431857975,-26256.33584332452,74,terminated
17,0.5065308460829445,-33792.38184571041,79,terminated
18,0.4895941190882885,-22629.972471998437,68,terminated
19,0.4689827399117856,-35786.131265879376,86,terminated
20,0.45194329245478415,-26227.091005852704,74,terminated
21,0.43486997770507113,-29087.530959822565,77,terminated
22,0.4194893262405436,-25776.217686919503,72,terminated
23,0.4034402221181489,-27926.490097311136,78,terminated
24,0.38800513539028453,-27097.20356264706,78,terminated
25,0.3746565809160171,-24179.65693051791,70,terminated
26,0.3615863736075214,-22880.297136322628,71,terminated
27,0.3484489348706246,-26728.116452505747,74,terminated
28,0.3359567942230718,-25274.205579505677,73,terminated
29,0.3227805110034003,-28001.532340230457,80,terminated
30,0.3118317975007209,-22071.826165217048,69,terminated
31,0.30005155312806847,-24399.23330139335,77,terminated
32,0.2894392124362427,-25919.01313324371,72,terminated
33,0.2786442273982822,-26656.238922527256,76,terminated
34,0.2677157529013846,-30803.762795325336,80,terminated
35,0.25902317627889354,-19753.970859230303,66,terminated
36,0.25061284262312755,-19720.734709972425,66,terminated
37,0.24090421596362763,-27611.162650019443,79,terminated
38,0.23250007146298401,-23009.975838416638,71,terminated
39,0.2243891125527428,-25408.351279142702,71,terminated
40,0.2171033270396432,-21672.675131055665,66,terminated
41,0.2087972422765245,-25452.319036773817,78,terminated
42,0.20111045214821263,-25681.272536775996,75,terminated
43,0.19467785028378104,-20342.609437638013,65,terminated
44,0.18826259399330786,-20609.739437265926,67,terminated
45,0.1812411131501996,-21153.862371397852,76,terminated
46,0.17413280553749558,-23234.449375175627,80,terminated
47,0.16763831222204864,-28335.213891952746,76,terminated
48,0.16138603887942188,-25357.714452272456,76,terminated
49,0.15606785399292053,-22064.120407491086,67,terminated
50,0.14994684593159327,-25290.944619264144,80,terminated
51,0.14493311614022467,-21272.913953051495,68,terminated
52,0.13973716146760087,-25312.225432662675,73,terminated
53,0.1343910033799564,-24532.08271396826,78,terminated
54,0.12905560504331048,-29503.502483556593,81,terminated
55,0.12499020267960395,-17748.746587903785,64,terminated
56,0.12087137671753892,-20871.513355381026,67,terminated
57,0.1171809387530969,-18895.27322367832,62,terminated
58,0.1130364374776608,-22332.834106814997,72,terminated
59,0.10936620932239077,-19562.775109563972,66,terminated
60,0.10560367973289034,-21847.851941611334,70,terminated
61,0.10217478894948816,-20711.794228078925,66,terminated
62,0.09846249465895095,-20334.023965475495,74,terminated
63,0.09441171898942595,-29390.63331724127,84,terminated
64,0.09084507463098758,-22056.6592087362,77,terminated
65,0.08754442037622066,-23962.745362585378,74,terminated
66,0.08482908337811905,-16862.266227775213,63,terminated
67,0.08211578969264732,-18419.28209784752,65,terminated
68,0.07944953719878446,-20286.709841285272,66,terminated
69,0.07656291451660126,-21391.04034281817,74,terminated
70,0.07411401769694294,-18139.77767087807,65,terminated
71,0.07142124927947012,-25073.88010794307,74,terminated
72,0.06920599946930793,-17944.379299959768,63,terminated
73,0.06685853227402835,-19827.67084988458,69,terminated
74,0.06478480278284815,-16873.304495202457,63,terminated
75,0.06274400579245575,-17874.232877716822,64,terminated
76,0.06043410936337624,-21048.024286671054,75,terminated
77,0.0584718485678875,-19502.84848582149,66,terminated
78,0.05668658942990066,-16304.814820879968,62,terminated
79,0.05490089562309975,-18591.549295887457,64,terminated
80,0.05319805228398488,-18159.770371569997,63,terminated
81,0.05123958645999479,-21478.491515017322,75,terminated
82,0.04952630306589736,-20298.75242306686,68,terminated
83,0.047655320190942214,-25659.768260503548,77,terminated
84,0.046084925345386815,-21150.003348264327,67,terminated
85,0.04438832655247861,-21971.03724758995,75,terminated
86,0.04294706310227104,-18658.51419990128,66,terminated
87,0.0416358058266607,-16942.01505064992,62,terminated
88,0.040123061187387316,-20078.46227338636,74,terminated
89,0.03858800618973919,-23109.42971474892,78,terminated
90,0.0373164082699723,-19275.725766636515,67,terminated
91,0.03612282735536917,-18531.26712688877,65,terminated
92,0.03494993991335444,-18649.473603762915,66,terminated
93,0.03371381676833925,-19154.161608350605,72,terminated
94,0.03244019103982464,-21939.953585908657,77,terminated
95,0.031230294930876968,-21938.996244458955,76,terminated
96,0.030201157072016316,-19863.053846450224,67,terminated
97,0.029089313095948286,-20641.8969389938,75,terminated
98,0.028018401228016732,-21075.73731955004,75,terminated
99,0.026919514715551665,-24329.669458746223,80,terminated
100,0.026071518545856334,-17100.933260428654,64,terminated
101,0.025288148506221027,-15588.396606324914,61,terminated
102,0.024467056859020776,-19216.41377631225,66,terminated
103,0.023519214290321257,-23830.90227926413,79,terminated
104,0.022642036784787056,-22998.159671535523,76,terminated
105,0.02184122437167998,-31338.537677510183,72,terminated
106,0.021132052369949545,-19783.465985547205,66,terminated
107,0.020486849754984014,-17010.796687077316,62,terminated
108,0.019801836820502475,-20356.147740827426,68,terminated
109,0.01917805582169356,-18645.60152778103,64,terminated
110,0.018583216261382204,-17045.857183735912,63,terminated
111,0.0179978232341755,-18147.79548266528,64,terminated
112,0.017430870771372863,-18329.047629335306,64,terminated
113,0.01688177797364724,-18096.928187014924,64,terminated
114,0.016325469527761163,-21161.205202491343,67,terminated
115,0.015716591422384595,-23106.88529955828,76,terminated
116,0.01523673335150042,-16378.869435338274,62,terminated
117,0.01470518720029849,-20952.590700251367,71,terminated
118,0.014170906845563071,-20630.054929887356,74,terminated
119,0.013731372407056916,-17544.154857181675,63,terminated
120,0.013225857215783692,-22514.56247682484,75,terminated
121,0.012751700884712208,-23981.37260100399,73,terminated
122,0.012288396121612984,-25592.068922309612,74,terminated
123,0.01190129728447063,-17849.51095941558,64,terminated
124,0.011537927556107566,-16250.025670015792,62,terminated
125,0.011185652211519194,-16348.684619648498,62,terminated
126,0.01082246051335648,-18420.55090510574,66,terminated
127,0.010471061440882452,-18516.486490280582,66,terminated
128,0.01005032674170329,-32018.414959616734,82,terminated
129,0.01,-41929.521452520814,107,terminated
130,0.01,-18851.450829902704,64,terminated
131,0.01,-18018.117674714747,63,terminated
132,0.01,-29909.754831181406,85,terminated
133,0.01,-17937.094057862723,63,terminated
134,0.01,-18376.42226018655,65,terminated
135,0.01,-18076.979579348048,65,terminated
136,0.01,-21022.9066991939,64,terminated
137,0.01,-24731.16153274683,75,terminated
138,0.01,-17260.471402178664,63,terminated
139,0.01,-17446.19893430054,63,terminated
140,0.01,-24593.600681453558,76,terminated
141,0.01,-18049.426180924613,63,terminated
142,0.01,-16935.18241609968,62,terminated
143,0.01,-19051.530191686586,64,terminated
144,0.01,-17372.75325712128,62,terminated
145,0.01,-21257.88730664858,74,terminated
146,0.01,-16683.848589198984,63,terminated
