episode,epsilon,total_reward,steps,exit_reason
0,1,-37041.820925275744,81,terminated
1,0.9797036738060285,-40804.92371752417,88,terminated
2,0.9398683138614449,-36097.89083412319,83,terminated
3,0.8949139064422772,-47232.446685870964,98,terminated
4,0.8546705011556123,-38271.33310679225,92,terminated
5,0.8186898039137951,-33222.80812460847,86,terminated
6,0.7854013679368537,-33777.68765555172,83,terminated
7,0.7527131823508562,-36235.582837391834,85,terminated
8,0.7213854699197644,-33872.355811727466,85,terminated
9,0.6886009963930515,-46571.11658925293,93,terminated
10,0.6566493216127431,-47198.55464016996,95,terminated
11,0.6277480333491344,-42548.776006735265,90,terminated
12,0.6031276475726596,-27095.386075159822,80,terminated
13,0.5777366305010049,-37610.26711486713,86,terminated
14,0.55396837747905,-34024.390205713535,84,terminated
15,0.5322416424883619,-31126.22765872887,80,terminated
16,0.511622845201388,-29559.444686299892,79,terminated
17,0.4922949825799048,-27153.029290447463,77,terminated
18,0.4729870887386839,-26955.791813988923,80,terminated
19,0.45398213096820117,-29560.97679876036,82,terminated
20,0.4377065506349272,-27846.449118992125,73,terminated
21,0.4220144613624576,-24385.107483002776,73,terminated
22,0.40749588283704985,-20438.76148567592,70,terminated
23,0.3919056319200366,-26278.246417642695,78,terminated
24,0.3788015954199355,-25344.773561813574,68,terminated
25,0.3646737323688482,-27197.447211956056,76,terminated
26,0.35212784898263094,-20578.091081766655,70,terminated
27,0.33814817554841287,-29729.941680163294,81,terminated
28,0.32521107574944835,-29779.955005032716,78,terminated
29,0.3126125477293428,-30693.94994645361,79,terminated
30,0.3012544643115281,-26822.917695323937,74,terminated
31,0.2904542787971713,-25136.21603074044,73,terminated
32,0.2801813782577146,-25353.072850984205,72,terminated
33,0.2708130336658032,-22381.912640136215,68,terminated
34,0.260452086907144,-23943.754660910938,78,terminated
35,0.25174342498606433,-20765.601764640785,68,terminated
